Section,Division,Group,Description,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024
Total,-,-,-,16253.0,14551.0,14669.0,14570.0,16051.0,17171.0,12631.0,14058.0,22130.0,25161.0,758.0,685.0,999.0,925.0,1013.0,1206.0,1096.0,1347.0,1453.0,1410.0,1676.0,1490.0,1567.0,1518.0,2120.0,1988.0,1824.0,1699.0,1830.0,1941.0,1691.0,1956.0,2032.0,1964.0,1685.0,1802.0,2470.0,1685.0,2551.0,2167.0,1723.0,2318.0,1965.0,2317.0,2466.0,2012.0,1769.0,2106.0,1785.0,2309.0
A,,,"AGRICULTURE, FORESTRY AND FISHING",53.0,41.0,46.0,51.0,48.0,53.0,40.0,38.0,85.0,83.0,4.0,5.0,2.0,1.0,1.0,6.0,4.0,3.0,1.0,3.0,2.0,6.0,2.0,2.0,7.0,6.0,5.0,11.0,8.0,12.0,5.0,9.0,10.0,8.0,5.0,6.0,8.0,4.0,15.0,12.0,4.0,8.0,5.0,5.0,3.0,8.0,8.0,5.0,8.0,7.0
A,01,,"Crop and animal production, hunting and related service activities",40.0,31.0,28.0,37.0,37.0,38.0,28.0,27.0,59.0,65.0,3.0,4.0,1.0,0.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,5.0,5.0,5.0,8.0,6.0,7.0,1.0,7.0,8.0,5.0,4.0,6.0,6.0,4.0,8.0,12.0,4.0,4.0,4.0,3.0,3.0,7.0,6.0,4.0,8.0,5.0
A,01,11,Growing of non-perennial crops,8.0,6.0,6.0,6.0,9.0,3.0,4.0,4.0,7.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0
A,01,12,Growing of perennial crops,4.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
A,01,13,Plant propagation,3.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A,01,14,Animal production,6.0,13.0,12.0,12.0,10.0,17.0,9.0,11.0,25.0,14.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,3.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,3.0,2.0
A,01,15,Mixed farming,3.0,5.0,4.0,5.0,0.0,0.0,6.0,2.0,6.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
A,01,16,Support activities to agriculture and post-harvest crop activities,14.0,5.0,4.0,11.0,10.0,16.0,4.0,8.0,18.0,14.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0
A,01,17,"Hunting, trapping and related service activities",2.0,0.0,0.0,2.0,5.0,1.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
